,學校代碼,學校名稱,日間∕進修別,等級別,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,學年度
0,1,國立政治大學,D 日,D 博士,113,66,91,68,90,63,77,58,86,48,84,40,64,33,0,0,30 臺北市,1 一般,105
1,1,國立政治大學,D 日,M 碩士,617,755,622,712,352,422,217,265,0,0,0,0,0,0,0,0,30 臺北市,1 一般,105
2,1,國立政治大學,D 日,B 學士,872,1347,1017,1232,850,1367,846,1398,0,0,0,0,0,0,327,455,30 臺北市,1 一般,105
3,1,國立政治大學,N 職,M 碩士,281,297,261,265,193,160,92,84,55,30,0,0,0,0,0,0,30 臺北市,1 一般,105
4,2,國立清華大學,D 日,D 博士,235,83,205,59,211,55,167,41,148,46,125,43,173,54,0,0,18 新竹市,1 一般,105
5,2,國立清華大學,D 日,M 碩士,1206,492,1056,484,378,188,122,101,0,1,0,0,0,0,0,0,18 新竹市,1 一般,105
6,2,國立清華大學,D 日,B 學士,967,568,949,583,960,533,950,525,0,0,0,0,0,0,234,100,18 新竹市,1 一般,105
7,2,國立清華大學,N 職,M 碩士,121,79,96,48,20,16,13,13,12,6,0,0,0,0,0,0,18 新竹市,1 一般,105
8,3,國立臺灣大學,D 日,D 博士,471,183,409,185,389,153,349,163,384,148,314,147,363,155,0,0,30 臺北市,1 一般,105
9,3,國立臺灣大學,D 日,M 碩士,2478,1510,2323,1461,912,661,447,362,0,0,0,0,0,0,0,0,30 臺北市,1 一般,105
10,3,國立臺灣大學,D 日,B 學士,2108,1622,2105,1600,2057,1655,2051,1553,165,87,139,51,0,0,778,528,30 臺北市,1 一般,105
11,3,國立臺灣大學,N 職,M 碩士,288,191,264,168,160,68,54,25,53,11,23,12,0,0,0,0,30 臺北市,1 一般,105
12,4,國立臺灣師範大學,D 日,D 博士,108,124,119,125,123,103,100,101,96,86,77,68,78,58,0,0,30 臺北市,3 師範,105
13,4,國立臺灣師範大學,D 日,M 碩士,610,759,533,699,293,472,210,350,0,0,0,0,0,0,0,0,30 臺北市,3 師範,105
14,4,國立臺灣師範大學,D 日,B 學士,885,1091,858,1064,786,1074,757,1036,0,0,0,0,0,0,237,240,30 臺北市,3 師範,105
15,4,國立臺灣師範大學,N 職,M 碩士,207,436,129,321,108,323,64,153,34,108,32,72,0,0,0,0,30 臺北市,3 師範,105
16,5,國立成功大學,D 日,D 博士,215,96,227,88,188,100,178,72,196,77,180,68,192,62,0,0,21 臺南市,1 一般,105
17,5,國立成功大學,D 日,M 碩士,1787,1037,1729,913,423,280,146,133,0,0,0,0,0,0,0,0,21 臺南市,1 一般,105
18,5,國立成功大學,D 日,B 學士,1695,1028,1737,990,1653,966,1595,958,69,38,43,35,54,19,411,162,21 臺南市,1 一般,105
19,5,國立成功大學,N 職,M 碩士,271,189,254,161,156,73,96,27,41,11,0,0,0,0,0,0,21 臺南市,1 一般,105
20,6,國立中興大學,D 日,D 博士,117,45,99,40,110,41,102,35,90,38,93,30,128,60,0,0,19 臺中市,1 一般,105
21,6,國立中興大學,D 日,M 碩士,836,545,827,517,250,166,85,92,2,2,0,0,0,0,0,0,19 臺中市,1 一般,105
22,6,國立中興大學,D 日,B 學士,1143,799,1152,788,1096,789,1151,802,40,28,0,0,0,0,210,91,19 臺中市,1 一般,105
23,6,國立中興大學,N 職,M 碩士,348,200,314,162,155,69,122,39,99,33,0,0,0,0,0,0,19 臺中市,1 一般,105
24,6,國立中興大學,P 進,B 學士,117,122,90,135,90,123,82,149,62,88,0,0,0,0,5,4,19 臺中市,1 一般,105
25,7,國立交通大學,D 日,D 博士,276,55,228,69,201,50,193,43,163,29,160,43,204,31,0,0,18 新竹市,1 一般,105
26,7,國立交通大學,D 日,M 碩士,1412,644,1346,568,806,319,188,112,0,2,0,0,0,0,0,0,18 新竹市,1 一般,105
27,7,國立交通大學,D 日,B 學士,922,409,962,386,921,401,901,389,0,0,0,0,0,0,143,44,18 新竹市,1 一般,105
28,7,國立交通大學,N 職,M 碩士,334,168,317,151,136,50,140,38,102,27,0,0,0,0,0,0,18 新竹市,1 一般,105
29,8,國立中央大學,D 日,D 博士,167,65,123,51,110,46,105,29,111,22,87,29,95,33,0,0,03 桃園市,1 一般,105
30,8,國立中央大學,D 日,M 碩士,976,496,955,447,302,128,82,51,0,1,0,0,0,0,0,0,03 桃園市,1 一般,105
31,8,國立中央大學,D 日,B 學士,948,544,975,529,932,542,875,531,0,0,0,0,0,0,172,59,03 桃園市,1 一般,105
32,8,國立中央大學,N 職,M 碩士,331,176,300,206,115,51,73,26,34,10,3,0,0,0,0,0,03 桃園市,1 一般,105
33,9,國立中山大學,D 日,D 博士,118,37,87,43,76,37,94,29,73,42,62,30,78,23,0,0,50 高雄市,1 一般,105
34,9,國立中山大學,D 日,M 碩士,748,435,690,377,259,182,141,84,0,0,0,0,0,0,0,0,50 高雄市,1 一般,105
35,9,國立中山大學,D 日,B 學士,685,451,717,424,697,453,692,402,0,0,0,0,0,0,159,76,50 高雄市,1 一般,105
36,9,國立中山大學,N 職,M 碩士,215,182,159,147,42,67,59,45,0,0,0,0,0,0,0,0,50 高雄市,1 一般,105
37,12,國立臺灣海洋大學,D 日,D 博士,47,8,33,16,41,7,21,9,21,5,23,7,46,12,0,0,17 基隆市,1 一般,105
38,12,國立臺灣海洋大學,D 日,M 碩士,416,214,409,168,106,44,44,13,5,3,1,0,0,0,0,0,17 基隆市,1 一般,105
39,12,國立臺灣海洋大學,D 日,B 學士,953,434,974,409,952,442,894,421,0,0,0,0,0,0,158,35,17 基隆市,1 一般,105
40,12,國立臺灣海洋大學,N 職,M 碩士,170,90,130,107,47,19,22,12,7,5,3,1,1,1,0,0,17 基隆市,1 一般,105
41,12,國立臺灣海洋大學,N 修,X 4+X,80,19,69,7,0,0,0,0,0,0,0,0,0,0,1,0,17 基隆市,1 一般,105
42,12,國立臺灣海洋大學,P 進,B 學士,85,49,68,53,59,53,63,47,0,0,0,0,0,0,31,17,17 基隆市,1 一般,105
43,13,國立中正大學,D 日,D 博士,72,31,69,36,55,29,48,25,49,25,41,12,61,17,0,0,10 嘉義縣,1 一般,105
44,13,國立中正大學,D 日,M 碩士,709,390,649,356,272,180,125,111,1,3,0,0,0,0,0,0,10 嘉義縣,1 一般,105
45,13,國立中正大學,D 日,B 學士,902,722,914,743,855,751,809,754,0,0,0,0,0,0,152,70,10 嘉義縣,1 一般,105
46,13,國立中正大學,N 職,M 碩士,238,251,251,222,101,121,56,62,113,82,0,0,0,0,0,0,10 嘉義縣,1 一般,105
47,14,國立高雄師範大學,D 日,D 博士,46,44,31,35,36,34,33,46,35,25,20,25,31,26,0,0,50 高雄市,3 師範,105
48,14,國立高雄師範大學,D 日,M 碩士,155,269,172,240,101,170,65,144,16,18,2,8,0,3,0,0,50 高雄市,3 師範,105
49,14,國立高雄師範大學,D 日,B 學士,428,442,410,441,398,442,395,451,0,0,0,0,0,0,62,56,50 高雄市,3 師範,105
50,14,國立高雄師範大學,N 職,M 碩士,149,232,113,261,83,167,37,74,23,42,24,48,0,0,0,0,50 高雄市,3 師範,105
51,15,國立彰化師範大學,D 日,D 博士,52,31,47,41,50,27,44,30,34,27,31,25,26,17,0,0,07 彰化縣,3 師範,105
52,15,國立彰化師範大學,D 日,M 碩士,290,244,292,258,129,168,65,102,0,0,0,0,0,0,0,0,07 彰化縣,3 師範,105
53,15,國立彰化師範大學,D 日,B 學士,599,593,610,541,595,574,589,582,0,0,0,0,0,0,125,56,07 彰化縣,3 師範,105
54,15,國立彰化師範大學,N 職,M 碩士,190,262,199,253,59,76,42,63,25,25,54,50,0,0,0,0,07 彰化縣,3 師範,105
55,16,國立陽明大學,D 日,D 博士,117,58,88,57,92,58,61,65,69,46,60,44,72,43,0,0,30 臺北市,1 一般,105
56,16,國立陽明大學,D 日,M 碩士,213,301,180,255,70,79,23,21,1,5,0,0,0,0,0,0,30 臺北市,1 一般,105
57,16,國立陽明大學,D 日,B 學士,219,193,205,186,211,190,208,199,115,63,111,67,75,47,21,11,30 臺北市,1 一般,105
58,16,國立陽明大學,N 職,M 碩士,20,36,15,33,3,14,3,4,2,6,0,0,0,0,0,0,30 臺北市,1 一般,105
59,17,國立臺北大學,D 日,D 博士,28,11,20,16,16,10,26,8,14,7,12,6,12,6,0,0,01 新北市,1 一般,105
60,17,國立臺北大學,D 日,M 碩士,258,241,231,237,114,102,63,71,3,4,0,0,0,0,0,0,01 新北市,1 一般,105
61,17,國立臺北大學,D 日,B 學士,659,758,670,739,588,813,610,764,0,0,0,0,0,0,138,139,01 新北市,1 一般,105
62,17,國立臺北大學,N 職,M 碩士,80,108,74,90,38,32,6,21,12,9,0,0,0,0,0,0,01 新北市,1 一般,105
63,17,國立臺北大學,N 修,X 4+X,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01 新北市,1 一般,105
64,17,國立臺北大學,P 進,B 學士,196,326,197,323,133,199,141,187,5,35,0,0,0,0,72,88,01 新北市,1 一般,105
65,18,國立嘉義大學,D 日,D 博士,24,11,17,16,16,15,13,10,9,8,6,13,15,18,0,0,20 嘉義市,1 一般,105
66,18,國立嘉義大學,D 日,M 碩士,258,271,223,239,151,118,87,95,0,0,0,0,0,0,0,0,20 嘉義市,1 一般,105
67,18,國立嘉義大學,D 日,B 學士,974,900,994,934,964,932,937,956,26,24,0,0,0,0,137,62,20 嘉義市,1 一般,105
68,18,國立嘉義大學,N 職,M 碩士,127,191,114,187,104,125,61,61,0,0,0,0,0,1,0,0,20 嘉義市,1 一般,105
69,18,國立嘉義大學,P 進,B 學士,345,198,334,212,246,221,229,225,0,0,0,0,0,0,66,25,20 嘉義市,1 一般,105
70,19,國立高雄大學,D 日,D 博士,7,0,4,0,1,0,4,1,2,1,1,0,1,0,0,0,50 高雄市,1 一般,105
71,19,國立高雄大學,D 日,M 碩士,196,79,154,76,54,27,41,12,0,0,0,0,0,0,0,0,50 高雄市,1 一般,105
72,19,國立高雄大學,D 日,B 學士,620,431,585,441,565,457,577,420,0,0,0,0,0,0,106,41,50 高雄市,1 一般,105
73,19,國立高雄大學,N 職,M 碩士,101,75,76,52,37,13,27,10,17,8,13,13,0,0,0,0,50 高雄市,1 一般,105
74,19,國立高雄大學,N 修,C 二技,0,0,0,0,35,29,34,16,0,0,0,0,0,0,35,16,50 高雄市,2 技職,105
75,20,國立東華大學,D 日,D 博士,43,21,26,29,52,24,28,15,32,15,20,10,22,21,0,0,15 花蓮縣,1 一般,105
76,20,國立東華大學,D 日,M 碩士,300,224,324,272,161,128,122,118,10,8,1,5,0,0,0,0,15 花蓮縣,1 一般,105
77,20,國立東華大學,D 日,B 學士,848,954,903,924,905,934,804,920,0,0,0,0,0,0,256,149,15 花蓮縣,1 一般,105
78,20,國立東華大學,N 職,M 碩士,104,115,78,96,34,53,28,46,12,13,12,26,0,0,0,0,15 花蓮縣,1 一般,105
79,21,國立暨南國際大學,D 日,D 博士,42,30,21,25,23,27,30,19,23,17,36,26,18,10,0,0,08 南投縣,1 一般,105
80,21,國立暨南國際大學,D 日,M 碩士,171,147,181,141,99,91,72,85,0,0,0,0,0,0,0,0,08 南投縣,1 一般,105
81,21,國立暨南國際大學,D 日,B 學士,533,638,564,592,525,579,449,536,0,0,0,0,0,0,97,59,08 南投縣,1 一般,105
82,21,國立暨南國際大學,N 職,M 碩士,90,94,79,71,31,30,17,14,4,7,4,6,0,0,0,0,08 南投縣,1 一般,105
83,22,國立臺灣科技大學,D 日,D 博士,205,63,153,44,121,36,111,30,75,17,68,12,35,7,0,0,30 臺北市,2 技職,105
84,22,國立臺灣科技大學,D 日,M 碩士,1155,480,943,397,205,93,58,21,0,0,0,0,0,0,0,0,30 臺北市,2 技職,105
85,22,國立臺灣科技大學,D 日,B 四技,1004,399,927,443,861,393,862,376,0,0,0,0,0,0,169,59,30 臺北市,2 技職,105
86,22,國立臺灣科技大學,D 日,C 二技,0,0,0,0,25,39,13,42,0,0,0,0,0,0,2,3,30 臺北市,2 技職,105
87,22,國立臺灣科技大學,D 日,X 4+X,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,2 技職,105
88,22,國立臺灣科技大學,N 職,D 博士,0,0,0,0,0,0,1,0,0,0,1,0,10,1,0,0,30 臺北市,2 技職,105
89,22,國立臺灣科技大學,N 職,M 碩士,199,109,184,95,64,23,54,10,5,0,1,0,0,0,0,0,30 臺北市,2 技職,105
90,22,國立臺灣科技大學,N 修,C 二技,0,0,0,0,0,0,1,10,0,0,0,0,0,0,6,8,30 臺北市,2 技職,105
91,23,國立雲林科技大學,D 日,D 博士,59,29,50,28,52,25,43,21,38,21,25,11,30,19,0,0,09 雲林縣,2 技職,105
92,23,國立雲林科技大學,D 日,M 碩士,544,291,508,301,163,111,58,47,0,0,0,0,0,0,0,0,09 雲林縣,2 技職,105
93,23,國立雲林科技大學,D 日,B 四技,986,622,930,632,904,596,840,582,0,0,0,0,0,0,118,72,09 雲林縣,2 技職,105
94,23,國立雲林科技大學,D 日,C 二技,0,0,0,0,42,65,36,63,0,0,0,0,0,0,10,13,09 雲林縣,2 技職,105
95,23,國立雲林科技大學,N 職,M 碩士,199,150,131,105,65,47,25,23,12,10,0,0,0,0,0,0,09 雲林縣,2 技職,105
